Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Aachen,22.0,0.0,0.0,22.0,0.0,7.0,9.0,0.0,3.0,0.0,0.0
Aalen,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aalst,6.0,0.0,0.0,10.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0
Aba,8.0,0.0,0.0,16.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0
Abadan,9.0,0.0,0.0,13.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0
Abakaliki,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Abbeville,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Abbotsford,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Abeokuta,3.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Aberdeen,5.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0
Abha,7.0,0.0,0.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
Abidjan,43.0,0.0,0.0,63.0,2.0,18.0,45.0,0.0,17.0,0.0,0.0
Abilene,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Abreu e Lima,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Abu Kabir,6.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
Acarigua,6.0,0.0,0.0,8.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0
Acayucan,9.0,0.0,0.0,11.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0
Accra,35.0,0.0,0.0,72.0,3.0,14.0,35.0,0.0,10.0,0.0,0.0
Acerra,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Acireale,10.0,0.0,0.0,24.0,0.0,1.0,20.0,0.0,4.0,0.0,1.0
Acuña,16.0,0.0,0.0,21.0,0.0,4.0,17.0,0.0,2.0,0.0,0.0
Acámbaro,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ad Diwaniyah,10.0,0.0,0.0,11.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0
Ad Diwem,4.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0
Adana,29.0,0.0,0.0,51.0,0.0,10.0,25.0,0.0,12.0,0.0,0.0
Adelaide,120.0,0.0,29.0,168.0,16.0,33.0,67.0,3.0,22.0,16.0,2.0
Adiyaman,3.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Aew?l-li,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Afragola,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Afyon,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Agadir,10.0,0.0,0.0,16.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0
Agde,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Agen,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agra,18.0,0.0,5.0,27.0,1.0,6.0,15.0,0.0,4.0,0.0,4.0
Agrigento,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Ahvaz,19.0,0.0,0.0,14.0,0.0,10.0,8.0,0.0,4.0,0.0,0.0
Ain Oussera,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Aix-en-Provence,25.0,0.0,2.0,33.0,1.0,6.0,9.0,0.0,7.0,0.0,3.0
Aix-les-Bains,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajaccio,7.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
Ajman,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ajmer,22.0,0.0,12.0,22.0,1.0,2.0,11.0,1.0,4.0,0.0,0.0
Akhisar,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Akola,5.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0
Akron,19.0,0.0,0.0,20.0,1.0,6.0,8.0,0.0,3.0,0.0,0.0
Aksaray,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Aksu,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Akure,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Al Amarah,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Al Hillah,11.0,0.0,0.0,10.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0
Al Hudayda,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Al Hufuf,6.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Al Khums,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
